OccurredOn,MaterialCode,MaterialName,Issue,Remain,Unit,Shift,Workshop,Usage
7/3/26 5:54 AM,2405001026,Pulse FPS- B3 L/F wait for welding 0.70 mm.,4680,5490,pc,C,FPSB,4857
7/3/26 5:54 AM,1205001020,Pulse FPS- B3 L/F (PD)C194/Pd/070/FB wait for cutting ,0,26563,pc,C,FPSB,1737
7/3/26 5:54 AM,2405001033,Pulse FPS- B3 L/F (PD)C194/Pd/070/FB wait for welding ,2250,2121,pc,C,FPSB,2465
7/3/26 5:54 AM,1205001018,Pulse FPS- B10 L/F wait for cutting 0.59 mm.,0,17450,pc,C,FPSB,0
7/3/26 5:54 AM,2405001030,Pulse FPS- B10 L/F wait for welding 0.59 mm.,0,360,pc,C,FPSB,0
7/3/26 5:55 AM,1205001019,Pulse FPS- B10 L/F (PD) wait for cutting ,0,3860,pc,C,FPSB,0
7/3/26 5:55 AM,1401990102,DIEMOND WHEEL TYPE REGUIDE  (N1),10,26,pc,C,FPSB,6
7/3/26 5:55 AM,1201500045,COMPOUND CV-4160GC6(13X3.5G),45,157.6,"kg
",C,FPSB,15.1
7/3/26 5:55 AM,1201500042,MOLDING LINER NE83G,200,456,"pc
",C,FPSB,70
7/3/26 5:55 AM,1201702018,C-TAPE TP-NW-PS(H),6000,9200,"meter
",C,FPSB,2275
7/3/26 5:55 AM,1405100013,Somix AP7   (1405100013),0,11680,"g
",C,FPSB,520
7/3/26 5:55 AM,Spay Daifee GA-7500 (Molding),Spay Daifee GA-7500 (Molding),0,18,can,C,FPSB,0
7/3/26 5:55 AM,1201520006,ABRASIVE MM-P80,20,20,"kg
",C,FPSB,0
7/3/26 5:55 AM,1201500049,COMPOUND CV-4160GC6(13X5.0G),0,13.16,"kg
",C,FPSB,0
7/4/26 6:14 AM,1205000007,Pulse FPS- B3 L/F wait for cutting 0.70 mm.,0,22380,pc,C,FPSB,3150
7/4/26 6:14 AM,2405001026,Pulse FPS- B3 L/F wait for welding 0.70 mm.,3130,3565,pc,C,FPSB,5055
7/4/26 6:14 AM,1205001020,Pulse FPS- B3 L/F (PD)C194/Pd/070/FB wait for cutting ,0,24191,pc,C,FPSB,2372
7/4/26 6:14 AM,2405001033,Pulse FPS- B3 L/F (PD)C194/Pd/070/FB wait for welding ,2245,2391,pc,C,FPSB,1975
7/4/26 6:14 AM,1205001018,Pulse FPS- B10 L/F wait for cutting 0.59 mm.,0,17450,pc,C,FPSB,0
7/4/26 6:14 AM,2405001030,Pulse FPS- B10 L/F wait for welding 0.59 mm.,0,360,pc,C,FPSB,0
7/4/26 6:14 AM,1205001019,Pulse FPS- B10 L/F (PD) wait for cutting ,0,3860,pc,C,FPSB,0
7/4/26 6:14 AM,2405001031,Pulse FPS- B10 L/F (PD) wait for welding ,0,0,pc,C,FPSB,0
7/4/26 6:14 AM,1401990102,DIEMOND WHEEL TYPE REGUIDE  (N1),0,26,pc,C,FPSB,0
